Country,IFF,VoiceAcct,PoliStabNoViolence,GovtEffect,RegQua,RuleofLaw,ContofCorrup,undp_hdi,hdi_life_exp,hdi_educ,hdi_income,vulnerable_employment,aid_percentage_gni,pop,gdppc,urban,lifeexp,Year
Dominica,18,1.012253165,0.665553093,0.670342624,0.497561961,0.741603673,0.80834341,0.724,0.752,0.618,0.623,47.58,3.8,68500,9932,59,76,0
Dominican Republic,1232,0.089798421,-0.002735103,-0.627658546,-0.163394451,-0.809174061,-0.80672878,0.7,0.797,0.601,0.717,42.49,0.3000227,9576736,11944.35,72.542,71.806,0
Ecuador,1518,-0.250357389,-0.673675776,-0.739758551,-1.259179473,-1.205040216,-0.744574428,0.719,0.845,0.633,0.695,41.34,0.3650016,14774412,10148.87,62.495,74.895,0
Egypt,4846,0.570525587,-0.11449261,0.313202083,0.449182034,0.072423071,0.125426695,0.662,0.772,0.54,0.696,24.28,0.5191426,81134789,10031.03,43.039,70.159,0
El Salvador,655,0.057646669,-0.007116277,-0.07901144,0.283810049,-0.783321619,-0.230227888,0.656,0.784,0.56,0.641,38.28,1.715511,6157678,7208.163,64.57,70.978,0
Ethiopia,260,-1.29824543,-1.641072273,-0.556844592,-0.931926727,-0.832281888,-0.704722345,0.411,0.625,0.3,0.369,89.47,11.80328,85233923,1150.206,16.91,60.645,0
Fiji,192,-0.91068691,-0.27288565,-1.174732447,-0.971093595,-0.865079582,-0.154777318,0.719,0.752,0.618,0.623,47.58,3.8,849000,3909,53,69,0
Gabon,451,-0.971218228,0.140438765,-0.76251483,-0.477560759,-0.503719747,-1.077147484,0.498,0.752,0.618,0.623,47.58,3.8,1500000,8254,87,60,0
Georgia,277,-0.188876048,-0.965524912,0.305827439,0.508792341,-0.199315324,-0.122036166,0.746,0.787,0.775,0.68,58.93,7.405134,3814419,9097.421,55.15,71.18,0
Ghana,928,0.498016387,0.027835818,-0.127614856,0.037200317,-0.042356919,-0.009987613,0.558,0.625,0.516,0.539,77.25999,6.105767,24170943,3543.468,50.031,60.645,0
Guatemala,1397,-0.250002414,-0.925672591,-0.711909115,-0.216534749,-1.013138294,-0.533482134,0.601,0.786,0.43,0.643,44.08,1.045591,14000190,7262.5,48.104,71.108,0
Guinea,244.25,-1.302840233,-2.116455078,-1.046903133,-1.123585939,-1.5522995,-1.096284151,0.498,0.752,0.618,0.623,47.58,3.8,10057975,1001,35,54,0
Guyana,172,0.092698015,-0.629981041,-0.182079703,-0.623867869,-0.555844963,-0.539242208,0.498,0.752,0.618,0.623,47.58,3.8,769095,2865,28,70,0
Honduras,696,-0.532957137,-0.308192104,-0.679099441,-0.310121268,-0.895501971,-0.908242762,0.605,0.816,0.469,0.578,39.99,2.926081,8150780,4787.864,51.225,73.061,0
Hungary,14168,0.909724355,0.536816299,0.677097797,1.081859827,0.771155953,0.395329833,0.828,0.834,0.826,0.823,7.28,0,10022650,24102.01,68.46,73.9049,0
India,24562,0.46074909,-1.355547905,-0.006081604,-0.34953326,0.017980825,-0.452406287,0.569,0.711,0.466,0.554,82.32001,0.1841706,1217726217,3956.359,30.587,66.244,0
Indonesia,20,-0.000997999,-0.751153648,-0.331201553,-0.314694703,-0.611935318,-0.889640629,0.658,0.752,0.579,0.655,58.4,0.1733627,238620554,7906.262,49.134,68.853,0
Iraq,36,-1.023455501,-2.17470789,-1.187919855,-1.005858898,-1.700715303,-1.328081846,0.498,0.752,0.618,0.623,47.58,3.8,30768400,1947,70,69,0
Jamaica,446,0.577551782,-0.363817692,0.28276062,0.218495637,-0.401666194,-0.321954697,0.719,0.752,0.618,0.623,47.58,3.8,2702000,8319,53,74,0
Jordan,956,-0.78457582,-0.356457055,0.241980702,0.283120602,0.216567948,0.164729521,0.743,0.819,0.697,0.719,8.84,2.971979,6893258,11650.36,84.928,73.266,0
Kazakhstan,2605,-1.075599074,0.776816249,-0.43933332,-0.268264323,-0.723441064,-0.931518555,0.762,0.72,0.786,0.782,31.27,0.2865941,16092822,19614.73,56.755,68.39,0
Kenya,792,-0.331883878,-1.425580621,-0.663946748,-0.178242475,-1.022645473,-1.07073009,0.541,0.614,0.494,0.521,62.51,4.820529,40901798,3156.437,23.183,59.932,0
Kiribati,3,0.634891212,1.40261066,-0.802719831,-1.218986154,0.142270759,-0.13527441,0.612,0.752,0.618,0.623,47.58,3.8,101093,1609,44,60,0
Kuwait,2490.38,-0.484644979,0.353407443,0.197572693,0.152733296,0.580420554,0.304186642,0.812,0.752,0.618,0.623,47.58,3.8,2818042,24801,100,75,0
Lebanon,1632,-0.355243325,-1.561696887,-0.384471655,-0.101630218,-0.614996731,-0.871679723,0.764,0.895,0.633,0.788,25.67,1.649178,4813026,18584.38,87.187,78.161,0
Lesotho,24.875,-0.083432332,0.326155901,-0.396180034,-0.649876177,-0.221786112,0.171797961,0.455,0.371,0.498,0.508,53.75,5.332158,1990135,2235.405,24.293,44.146,0
Libya,1350,-1.910277367,0.831896722,-1.082782507,-1.185801029,-0.943409562,-1.210370302,0.769,0.752,0.618,0.623,47.58,3.8,6310434,13576,78,76,0
Madagascar,288,-0.831528485,-0.733878493,-0.838610649,-0.544540942,-0.732627451,-0.328544199,0.483,0.752,0.618,0.623,47.58,3.8,20696070,435,30,66,0
Malawi,133,-0.14877148,0.053666811,-0.539876819,-0.489193112,-0.11745359,-0.405897647,0.42,0.521,0.421,0.337,60.23,12.61708,14128161,1300.533,15.429,53.888,0
Malaysia,22146,-0.503894746,-0.04166092,0.908778548,0.269758821,0.373885453,-0.093942709,0.765,0.835,0.676,0.793,21.51,0.0705866,27735038,19442.98,70.075,74.305,0
Maldives,30,-0.048458017,-0.229707628,-0.436898768,-0.38104254,-0.151592925,-0.667673528,0.654,0.752,0.618,0.623,47.58,3.8,394451,11854,100,74,0
Mali,231.6,0.069614761,-0.075577624,-0.802453339,-0.408670276,-0.363101393,-0.680893421,0.401,0.535,0.27,0.449,82.35001,10.08402,14581427,2041.33,35.2,54.756,0
Mauritania,38,-0.924538612,-0.882854044,-0.925859511,-0.711697698,-0.814965606,-0.608217955,0.454,0.752,0.618,0.623,47.58,3.8,3270065,2389,30,59,0
Mauritius,447,0.822893023,0.707766652,0.802594244,0.756105363,0.897427082,0.46592325,0.777,0.752,0.618,0.623,47.58,3.8,1270000,7638,42,73,0
Mexico,36841,0.200032845,-0.686627805,0.144824192,0.177682906,-0.562868834,-0.365960121,0.748,0.848,0.637,0.775,29.86,0.0210955,112463886,17168.98,77.52,75.128,0
Moldova,216,-0.296487033,-0.583599746,-0.560340583,-0.144404069,-0.434595019,-0.701457858,0.706,0.756,0.697,0.669,28.49,4.277555,2864346,7975.384,42.651,69.119,0
Mongolia,209.8333,0.125629634,0.609987438,-0.668986678,-0.306162864,-0.263375491,-0.761497498,0.687,0.722,0.701,0.642,55.76,6.990861,2673794,7153.438,66.58,66.916,0
Morocco,4787,-0.745714903,-0.398299634,-0.282152444,-0.090557851,-0.262815058,-0.367966145,0.608,0.831,0.437,0.62,51.94,1.141683,31929087,6129.114,57.452,74.003,0
Mozambique,151,-0.114246525,0.625379622,-0.600843906,-0.437218875,-0.600408316,-0.428717107,0.394,0.488,0.366,0.343,86.12,17.30988,22894718,991.3228,31.328,51.738,0
Myanmar,1047,-2.172561884,-1.294418812,-1.619489789,-2.234344482,-1.535036683,-1.659667373,0.504,0.663,0.381,0.507,67.02,0.8434626,50250366,2874.78,28.695,63.089,0
Namibia,307,0.375795007,0.929570854,0.211638153,0.241088286,0.252103716,0.269764304,0.576,0.542,0.528,0.669,31.43,3.824268,2081039,8671.664,40.601,55.207,0
Nepal,67,-0.441024661,-1.620081186,-0.961558819,-0.722060025,-0.867817461,-0.704490542,0.522,0.726,0.414,0.472,81.14999,5.450494,26883531,2591.631,16.434,67.178,0
