Country,IFF,VoiceAcct,PoliStabNoViolence,GovtEffect,RegQua,RuleofLaw,ContofCorrup,undp_hdi,hdi_life_exp,hdi_educ,hdi_income,vulnerable_employment,aid_percentage_gni,pop,gdppc,urban,lifeexp,Year
Lebanon,1736,-0.390134037,-1.558287501,-0.132695228,-0.120911703,-0.634227335,-0.900145948,0.768,0.9,0.637,0.79,25.24,1.198077,5202022,18727.01,87.484,78.507,2
Lesotho,27,-0.089245625,0.383940756,-0.376064658,-0.638167918,-0.270240843,0.156146213,0.469,0.403,0.498,0.514,51.86,8.312123,2003793,2444.928,25.31,46.207,2
Libya,1442,-1.594412327,-1.287379265,-1.050575972,-1.427940607,-1.078314066,-1.231681228,0.769,0.778,0.626,0.644,46.85,3.15,6461454,6240,78,75,2
Madagascar,337,-0.879346013,-0.705585897,-1.068306923,-0.552348316,-0.894967437,-0.484609842,0.483,0.778,0.626,0.644,46.85,3.15,21281844,1041,35,63,2
Malawi,189,-0.245419502,-0.072912723,-0.475620747,-0.754333615,-0.165708616,-0.426366478,0.44,0.572,0.433,0.345,59.81,10.11964,14962118,1376.168,15.672,57.161,2
Malaysia,31971,-0.474874914,0.077409767,1.00221765,0.547134578,0.402631521,0.022571575,0.778,0.841,0.694,0.806,19.6,0.0140292,28650962,21289.26,71.609,74.683,2
Maldives,122,-0.156640366,-0.242630184,-0.293658286,-0.38474986,-0.542268932,-0.552542269,0.706,0.778,0.626,0.644,46.85,3.15,319738,14370,100,77,2
Mali,166,0.167899787,-0.708379745,-0.802109778,-0.404689968,-0.500218213,-0.648009062,0.413,0.549,0.283,0.453,82.47,10.11443,15514593,2085.421,36.799,55.701,2
Mauritania,168,-0.927596331,-1.173678875,-0.962067187,-0.801002622,-0.929718733,-0.641656637,0.533,0.778,0.626,0.644,46.85,3.15,3205060,404,41,59,2
Mauritius,512,0.795731783,0.946499407,0.886751354,0.767549992,0.935304999,0.463920891,0.771,0.778,0.626,0.644,46.85,3.15,1270000,7619,41,74,2
Mexico,50218,0.121691875,-0.667768598,0.257281601,0.184377462,-0.549887717,-0.474737763,0.755,0.846,0.649,0.784,28.84,0.0832387,115695468,18186.22,78.111,75.011,2
Moldova,316,0.049504522,-0.049293749,-0.611933291,-0.103003003,-0.327680469,-0.625150502,0.719,0.771,0.699,0.69,28.7,5.134566,2859833,9052.866,42.589,70.119,2
Mongolia,209.8333,0.052060232,0.606538892,-0.580542684,-0.238061503,-0.262269258,-0.696974516,0.71,0.736,0.734,0.661,54.52,3.532775,2770357,8613.313,67.963,67.818,2
Morocco,5868,-0.709956765,-0.392256796,-0.264674336,-0.176636279,-0.275484473,-0.452251226,0.626,0.841,0.463,0.629,51.75,1.445145,32781860,6522.374,58.581,74.696,2
Mozambique,339,-0.199520618,0.332048267,-0.651163042,-0.473082095,-0.579845726,-0.4961963,0.397,0.508,0.344,0.357,85.32,14.6214,24187500,1073.478,32.336,53.043,2
Myanmar,556,-1.849633694,-1.111098409,-1.602065206,-2.102012873,-1.439666033,-1.594689012,0.526,0.677,0.407,0.527,65.2,0.7018356,50990612,3279.666,29.075,63.983,2
Namibia,293,0.340737253,0.911657512,0.135968268,0.09231393,0.163114116,0.277477235,0.602,0.586,0.549,0.679,31.57,2.316334,2156698,9324.529,42.637,58.085,2
Nepal,73,-0.445125788,-1.416443586,-0.915860295,-0.734936655,-0.89161092,-0.78744036,0.545,0.739,0.454,0.483,80.34,3.448929,27041220,2793.025,17.108,68.028,2
Nicaragua,371,-0.576730072,-0.269735813,-0.897888482,-0.353553355,-0.725575924,-0.737969637,0.628,0.811,0.524,0.582,43.58,5.644852,5903035,4837.537,57.113,72.692,2
Niger,89,-0.246729359,-0.878004491,-0.654597759,-0.567633331,-0.407697648,-0.652857542,0.337,0.778,0.626,0.644,46.85,3.15,15400000,652,20,56,2
Nigeria,6865,-0.713411033,-1.956454515,-1.106270552,-0.699536264,-1.17883873,-1.189361453,0.492,0.482,0.424,0.583,80.89,0.4731592,162805080,5056.892,44.366,51.346,2
North Macedonia,765,-0.039491858,-0.617963791,-0.229721457,0.215584025,-0.269508898,-0.106993712,0.747,0.844,0.667,0.74,22.52,1.865527,2072383,11611.85,57.092,74.846,2
Oman,1736,-1.060490608,0.43244046,0.245542839,0.31984368,0.461840659,0.13220188,0.708,0.778,0.626,0.644,46.85,3.15,2845000,22304,76,76,2
Pakistan,3825,-0.829199433,-2.810035467,-0.829370141,-0.647816777,-0.906628191,-1.083392024,0.516,0.701,0.349,0.561,61.5,1.763952,183340168,3928.52,35.202,65.562,2
Panama,1102,0.534638524,-0.028218862,0.134334534,0.534382701,0.025878649,-0.354332805,0.768,0.778,0.626,0.644,46.85,3.15,3367000,10417,76,77,2
Papua New Guinea,873,-0.038828049,-0.754677415,-0.716890812,-0.527206063,-0.810600579,-1.0335747,0.466,0.778,0.626,0.644,46.85,3.15,6187591,2500,13,71,2
Paraguay,647,-0.083290011,-0.692596555,-0.861026406,-0.32660228,-0.800011337,-0.695635736,0.701,0.813,0.604,0.7,41.44,0.2455779,6333981,10714.69,59.584,72.86,2
Peru,4895,0.131239608,-0.760749698,-0.206811696,0.404832929,-0.580825686,-0.243967727,0.734,0.842,0.678,0.693,51.41,0.3713277,29264314,10616.84,76.617,74.697,2
Philippines,10807,-0.019902654,-1.392181635,0.198170111,-0.1609696,-0.50638926,-0.685034811,0.676,0.769,0.633,0.635,41.44,-0.0523593,95570049,6043.602,45.522,69.984,2
Poland,45480,1.027627707,1.072062969,0.596281648,0.958582044,0.794908702,0.562475681,0.845,0.872,0.833,0.83,18.65,0,38063255,25124.28,60.78,76.6951,2
Qatar,2032,-1.084917188,1.174731016,0.748206079,0.496541798,0.750734091,1.001109838,0.84,0.912,0.651,1,0.22,0,2035862,99147.29,98.602,79.26,2
Romania,12788,0.376137167,0.186090663,-0.199979275,0.687459826,0.104707606,-0.333498508,0.806,0.837,0.777,0.804,32.01,0,20147528,20792.17,53.96,74.4098,2
Russian Federation,38290,-0.883593857,-0.998262107,-0.601379693,-0.311618179,-0.747264206,-1.074376822,0.79,0.759,0.783,0.829,5.81,0,142960908,24972.08,73.732,69.6839,2
Rwanda,40,-1.328789353,-0.17711778,-0.01403409,-0.18134591,-0.304123908,0.362672299,0.5,0.685,0.437,0.416,74.46,18.5118,10293333,1586.961,16.938,64.523,2
Samoa,25,0.402175754,0.988590956,0.054982536,-0.323420256,0.726216853,0.12943545,0.702,0.778,0.626,0.644,46.85,3.15,187820,2966,87,73,2
Saudi Arabia,12545,-1.907197475,-0.464799643,-0.308550298,0.024820386,0.046536326,-0.312528074,0.836,0.778,0.626,0.644,46.85,3.15,27362214,22303,84,75,2
Senegal,788,-0.220193043,-0.280602247,-0.497772127,-0.245334327,-0.456045747,-0.503729224,0.471,0.691,0.304,0.496,69.29,6.015136,13033814,2757.079,44.188,64.898,2
Seychelles,74,0.01789809,0.937754095,0.650379479,-0.081546515,-0.001035369,0.606024206,0.782,0.778,0.626,0.644,46.85,3.15,86000,13397,56,74,2
Sierra Leone,81.6,-0.203812569,-0.168444857,-1.196948647,-0.73083967,-0.862535298,-0.860041797,0.406,0.465,0.357,0.404,88.46,14.60982,6563238,1469.033,39.248,50.234,2
Solomon Islands,18,-0.00426661,0.307558388,-0.908761501,-1.055239081,-0.518693209,-0.346251637,0.515,0.778,0.626,0.644,46.85,3.15,515870,2151,18,70,2
South Africa,10629,0.590838611,0.02403157,0.219012007,0.446406275,0.129662588,-0.004233705,0.665,0.598,0.674,0.727,10.14,0.3442773,52003759,12666.71,62.746,58.895,2
Sri Lanka,2000,-0.545052946,-0.72477144,-0.103059769,-0.131351128,-0.117064774,-0.399362594,0.76,0.856,0.743,0.692,42.05,0.947755,20398496,9827.622,18.211,75.614,2
Suriname,122,0.380300343,0.119975284,-0.124104902,-0.58248961,-0.047765844,-0.284884512,0.702,0.778,0.626,0.644,46.85,3.15,524000,13043,70,71,2
Tanzania,718,-0.141483933,-0.024133479,-0.662846506,-0.449195504,-0.514893711,-0.60335964,0.487,0.608,0.415,0.457,85.60001,7.179453,45673520,2098.277,28.798,59.525,2
Thailand,30628,-0.405181706,-1.133533716,0.110329352,0.0903828,-0.229752526,-0.353244036,0.733,0.84,0.626,0.748,55.39,-0.0370625,67518379,14450.48,44.698,74.593,2
Timor-Leste,15,0.132830247,-0.462352425,-1.185858727,-1.052828908,-1.186765313,-0.824016511,0.644,0.73,0.51,0.718,69.1,6.002704,1113154,3045.458,28.079,67.477,2
Togo,176,-0.903721452,-0.162598491,-1.380310178,-1.018981934,-0.893909216,-1.026531458,0.435,0.778,0.626,0.644,46.85,3.15,6191155,577,39,61,2
Tonga,17,0.321024299,0.937798142,-0.328607202,-0.599480748,0.010710749,-0.320604384,0.717,0.778,0.626,0.644,46.85,3.15,104000,4398,24,73,2
Trinidad and Tobago,1859,0.520742893,0.141080409,0.390841335,0.521160543,-0.179331794,-0.13505049,0.782,0.803,0.713,0.836,17.31,0,1336180,28621.11,53.836,72.17,2
Tunisia,5182,-0.37050429,-0.353741795,0.007769983,-0.266437083,-0.192856058,-0.022444921,0.718,0.849,0.635,0.687,22.93,2.119645,10741872,9820.964,66.938,75.206,2
Turkey,26361,0.590838611,0.02403157,0.219012007,0.446406275,0.129662588,-0.004233705,0.753,0.845,0.622,0.813,33.13,0.3954558,73443254,21932.29,71.402,74.944,2
Uganda,326,-0.525404513,-0.976101816,-0.562884808,-0.176683009,-0.35968861,-0.936401606,0.504,0.586,0.487,0.449,77.59,5.732111,33476772,1972.31,19.898,58.087,2
Ukraine,6477,-0.132440627,-0.070431463,-0.871114969,-0.563705266,-0.851141274,-1.086713314,0.76,0.768,0.787,0.725,18.2,0.4881476,45706086,12466.81,68.689,70.8093,2
United Arab Emirates,13437.71,-0.896244109,0.912175715,1.049391031,0.445208371,0.498547107,1.070487618,0.836,0.778,0.626,0.644,46.85,3.15,8264070,64545,85,76,2
Uruguay,848,1.12143147,0.957096934,0.53453809,0.609196186,0.731594443,1.289977908,0.789,0.875,0.717,0.784,22.92,0.0393461,3368926,20231.57,94.612,76.882,2
Uzbekistan,574.5,-2.124430656,-0.599719346,-0.683713198,-1.557781339,-1.452401876,-1.387564898,0.675,0.778,0.626,0.644,46.85,3.15,27865738,1967,51,71,2
Vanuatu,17,0.427274108,1.109436989,-0.213458091,-0.684840024,0.298266947,0.308373779,0.594,0.778,0.626,0.644,46.85,3.15,215000,2879,24,70,2
Venezuela,3824,-0.246729359,-0.878004491,-0.654597759,-0.567633331,-0.407697648,-0.652857542,0.769,0.817,0.705,0.791,32.58,0.0158804,28887873,17319.29,88.108,73.11,2
VietNam,13264,-1.45916307,0.189088449,-0.214853138,-0.609958649,-0.541880786,-0.614729941,0.671,0.845,0.602,0.595,62.43,2.569043,88871384,5352.022,31.08,74.904,2
Yemen,576,-0.246729359,-0.878004491,-0.654597759,-0.567633331,-0.407697648,-0.652857542,0.506,0.704,0.343,0.537,42.46,1.571457,23807586,3876.303,32.364,65.768,2
Zambia,134,-0.170420811,0.509773791,-0.685641646,-0.467423737,-0.456424236,-0.41075328,0.534,0.571,0.526,0.507,79.72,4.633867,14023199,3201.288,39.851,57.126,2
Zimbabwe,170,-1.463762522,-0.945328534,-1.419676661,-1.89214921,-1.793949366,-1.425626516,0.499,0.506,0.526,0.468,65.58,5.970939,12894323,2764.339,33.015,52.896,2
Afghanistan,14.16666667,-1.267430067,-2.418561459,-1.376418829,-1.192579746,-1.651893139,-1.430372834,0.479,0.767,0.63,0.65,46.33,3.03,28803167,1800,24,60,3
Albania,708,0.022064038,-0.143631592,-0.267875999,0.240491986,-0.519839764,-0.778729439,0.775,0.881,0.739,0.715,61.53,2.855234,2900401,11227.99,54.33,77.252,3
Algeria,6360,-0.906026602,-1.325043321,-0.444745928,-1.320389032,-0.812617719,-0.521544516,0.728,0.853,0.639,0.707,28.2,0.0717982,37383899,11233.53,68.915,75.436,3
Angola,1373,-1.076246738,-0.389322549,-0.990929544,-0.990437567,-1.304776907,-1.302401423,0.544,0.573,0.435,0.648,67.9,0.2070966,25107925,8036.692,61.268,57.236,3
Antigua and Barbuda,23,0.640056968,0.975788057,0.480951369,0.599272251,0.945719004,1.260530829,0.782,0.767,0.63,0.65,46.33,3.03,86754,16863,26,74,3
Argentina,6227,0.295209914,0.103040546,-0.206465602,-0.897686779,-0.623034239,-0.445909202,0.834,0.855,0.822,0.825,19.03,0.0333992,41733271,24118.87,91.121,75.598,3
Armenia,215,-0.570491433,0.154794976,-0.026902404,0.334273398,-0.418281972,-0.58800149,0.756,0.828,0.736,0.708,43.1,2.450202,2884239,10397.65,63.24,73.82,3
Aruba,86,1.28464973,1.263881564,1.247285604,-1.386602283,1.309788346,1.095235944,0.79,0.767,0.63,0.65,46.33,3.03,101484,19446,43,79,3
Azerbaijan,2192,-1.29948163,-0.715751827,-0.78799051,-0.488716811,-0.879532695,-1.142694116,0.758,0.767,0.63,0.65,46.33,3.03,8536700,17100,54,72,3
Bahrain,884,-1.318024635,-1.129954934,0.544541776,0.684159577,0.253650159,0.36653021,0.806,0.767,0.63,0.65,46.33,3.03,1234571,23457,89,76,3
Bangladesh,3306,-0.401940674,-1.379088998,-0.806320727,-0.959472537,-0.936167359,-0.85661906,0.575,0.779,0.456,0.535,60.99,1.489232,151005733,3195.781,31.993,70.606,3
Barbados,103,1.132978678,1.185965657,1.454074264,0.448699445,1.025717378,1.648287773,0.793,0.767,0.63,0.65,46.33,3.03,273925,15726,13,74,3
Belarus,1979,-1.567181349,0.06861522,-0.967426658,-1.174061537,-0.923038542,-0.458519369,0.798,0.767,0.63,0.65,46.33,3.03,9469200,15627,77,72,3
Belize,54,0.695277274,0.180257618,-0.165343121,-0.436850935,-0.435866833,-0.030974895,0.706,0.767,0.63,0.65,46.33,3.03,304106,8195,53,68,3
Benin,278,0.12448547,0.364367604,-0.530877173,-0.401261717,-0.574936271,-0.857918382,0.51,0.613,0.433,0.5,88.76,4.58598,9729254,2759.848,44.125,59.842,3
Bhutan,5,-0.280920058,0.77630949,0.553633213,-1.093008518,0.260953724,0.953947246,0.604,0.767,0.63,0.65,46.33,3.03,708427,7339,38,69,3
Bolivia,1039,-0.081585295,-0.458068103,-0.361267656,-0.832377791,-1.018764019,-0.727891862,0.675,0.754,0.644,0.633,52.34,2.599545,10377677,7081.386,67.315,69.01,3
Bosnia and Herzegovina,738,-0.100325391,-0.538148701,-0.449273467,-0.061737765,-0.197178289,-0.309364051,0.748,0.868,0.672,0.717,22.37,3.271718,3604972,11257.83,46.199,76.401,3
Botswana,121,0.532969713,1.104041457,0.421417683,0.692556441,0.594521701,0.90651536,0.689,0.669,0.645,0.758,24.94,0.5158631,2039551,15245.98,64.768,63.511,3
Brazil,26520,0.477906197,0.045961641,-0.169213906,0.173244089,-0.076932795,-0.046854232,0.735,0.834,0.628,0.758,25.9,0.0536069,199287292,15478.79,84.923,74.209,3
Brunei Darussalam,848,-0.506374061,0.909327209,0.837379038,1.145500064,0.787489593,0.538632572,0.815,0.767,0.63,0.65,46.33,3.03,393162,16836,78,76,3
Bulgaria,4064,0.400915593,0.379833996,-0.031450093,0.574710846,-0.115051359,-0.281460792,0.795,0.833,0.77,0.783,8.02,0,7305888,18134.96,72.975,74.3146,3
Burkina Faso,148,-0.304970831,-0.573129237,-0.631817698,-0.139083847,-0.4258551,-0.482446641,0.403,0.59,0.253,0.437,88.33,9.411691,16571252,1834.543,25.767,58.374,3
Burundi,26,-0.894518375,-1.70473814,-1.31334269,-0.952941537,-1.083929777,-1.468606353,0.426,0.593,0.399,0.325,83.55,22.52759,9245992,862.7157,11.194,58.568,3
Cambodia,900,-0.961479783,-0.103577204,-0.817487955,-0.355143368,-0.98134619,-1.080681562,0.552,0.73,0.455,0.507,64.42,6.06157,14780454,3022.597,21.037,67.48,3
Cameroon,747,-1.021580935,-0.588517427,-0.90253967,-0.931122065,-1.042930365,-1.27243948,0.525,0.555,0.501,0.52,75.93,2.083826,21485267,3180.772,52.769,56.073,3
Central African Republic,15,-1.241135001,-1.852922916,-1.457386017,-1.073146105,-1.438803792,-1.005531907,0.352,0.767,0.63,0.65,46.33,3.03,4546100,333,40,51,3
Chile,7039,1.076945186,0.331102103,1.184975624,1.536198139,1.287656784,1.543591261,0.821,0.91,0.751,0.811,20.92,0.0503222,17400359,23300.44,87.189,79.176,3
China,253375,-1.63794148,-0.53878206,0.000691475,-0.284332842,-0.545384467,-0.438275933,0.699,0.767,0.63,0.65,46.33,3.03,1338612968,7490,52,75,3
Colombia,5280,-0.063991345,-1.401810408,0.000233645,0.326594681,-0.325919122,-0.422298342,0.739,0.86,0.644,0.729,48.17,0.2141975,46075721,12852.63,78.701,75.882,3
Comoros,9,-0.466148853,-0.452308029,-1.60205996,-1.386602283,-1.078929543,-0.781551659,0.498,0.767,0.63,0.65,46.33,3.03,752438,1078,28,60,3
Costa Rica,2411,1.088219762,0.638402462,0.474561214,0.743631065,0.528911471,0.570753694,0.783,0.909,0.686,0.771,19.89,0.0622062,4688003,17994.54,73.946,79.074,3
Croatia,2845,0.540830553,0.606891453,0.678777635,0.353815705,0.145079002,-0.025457293,0.825,0.882,0.777,0.821,15.24,0,4267558,23807.32,55.506,76.9244,3
Djibouti,33,-1.434044123,0.160619214,-1.081844687,-0.456313699,-0.803623497,-0.470184714,0.466,0.767,0.63,0.65,46.33,3.03,818159,2677,79,62,3
Dominica,12,0.946590006,0.980585456,0.75064826,0.298656762,0.699136794,0.69570899,0.724,0.767,0.63,0.65,46.33,3.03,73746,7223,17,75,3
Dominican Republic,1794,0.1245922,0.252366811,-0.542260885,-0.061866112,-0.716865838,-0.897264659,0.714,0.808,0.616,0.732,42.35,0.4463133,9930916,13219.69,75.802,72.523,3
Ecuador,1550,-0.296114117,-0.57030648,-0.473636031,-0.943592429,-1.063925147,-0.508597851,0.751,0.854,0.695,0.714,42.51,0.1708809,15474099,11431.38,62.988,75.495,3
Egypt,4897,0.58215332,-0.0253867,0.171206728,0.398661673,0.084444158,-0.184170604,0.677,0.781,0.571,0.696,21.83,0.6651438,86422240,10301.11,42.946,70.736,3
El Salvador,865,-0.040193725,0.234583974,-0.140011951,0.22834833,-0.728603363,-0.412512779,0.669,0.795,0.577,0.651,37.53,1.071917,6237922,7754.688,67.187,71.692,3
Ethiopia,374,-1.308907866,-1.564271331,-0.450273544,-1.050038218,-0.677317858,-0.608586848,0.438,0.666,0.314,0.402,88.11,7.505092,92726982,1437.377,18.16,63.281,3
Fiji,178,-0.978677988,-0.067774832,-1.049253345,-0.587406158,-0.67112577,0.181172475,0.625,0.767,0.63,0.65,46.33,3.03,837271,5900,53,69,3
Gabon,451,-0.863606691,0.29329142,-0.961442292,-0.532351732,-0.414806485,-0.666252255,0.674,0.767,0.63,0.65,46.33,3.03,1545255,16800,87,60,3
Georgia,469,0.021580776,-0.680453956,0.640399277,0.664130926,-0.006217348,0.397421122,0.767,0.802,0.79,0.713,54.97,4.040144,3728874,11295.75,56.303,72.097,3
Ghana,1735,0.431352198,0.130694985,-0.092501223,0.098503292,0.016669463,-0.126568556,0.577,0.642,0.53,0.565,72.46,4.59296,25996454,4431.024,52.073,61.72,3
Guatemala,1883,-0.356138647,-0.633820176,-0.788484037,-0.263000935,-1.083919644,-0.678762555,0.618,0.804,0.45,0.651,44.46,0.6277466,14781942,7590.755,49,72.236,3
Guinea,244.25,-1.013888836,-1.287012458,-1.26455462,-1.019625306,-1.399059772,-1.055663228,0.344,0.767,0.63,0.65,46.33,3.03,10221808,579,35,58,3
Guyana,270,-0.002288182,-0.49961406,-0.100991204,-0.626173019,-0.518265724,-0.761781573,0.636,0.767,0.63,0.65,46.33,3.03,746900,3175,52,70,3
Honduras,1050,-0.469777703,-0.350115597,-0.696037591,-0.205009326,-1.146425009,-0.955132008,0.612,0.828,0.474,0.583,45.19,3.282828,8640692,5065.457,53.202,73.814,3
Hungary,19338,0.749367654,0.67579478,0.61773026,0.982062161,0.611102879,0.298703164,0.831,0.848,0.818,0.826,6.48,0,9920362,24754.23,69.678,75.0634,3
India,30432,0.399454206,-1.289309859,-0.159344167,-0.480885625,-0.062880747,-0.51396811,0.597,0.731,0.505,0.576,79.16,0.0931165,1265780243,4583.173,31.634,67.545,3
Indonesia,18,0.067612648,-0.593262792,-0.331714362,-0.221852913,-0.58356905,-0.689105809,0.681,0.767,0.607,0.677,51.34,0.0077369,248451714,9080.066,51.276,69.866,3
Iraq,36,-1.076180577,-1.934050202,-1.055943847,-1.140616536,-1.570040822,-1.248227,0.685,0.767,0.63,0.65,46.33,3.03,29671605,6106,69,69,3
Jamaica,426,0.486024708,0.120508112,0.048251066,0.176540703,-0.346987486,-0.285973221,0.719,0.767,0.63,0.65,46.33,3.03,2702000,5395,53,74,3
Jordan,784,-0.734492719,-0.523977637,0.048635475,0.230972111,0.350899756,0.07058657,0.735,0.827,0.685,0.701,9.37,3.704411,8089963,10688.29,88.185,73.722,3
Kazakhstan,3786,-1.176720738,-0.408455014,-0.524907649,-0.390580028,-0.772899032,-0.921265781,0.782,0.751,0.801,0.794,29.21,0.0733038,16792090,22702.58,56.973,69.52,3
Kenya,1018.86,-0.28780368,-1.323441267,-0.540049195,-0.317458749,-0.831432939,-1.098877668,0.566,0.656,0.515,0.536,57.56,5.287508,44343469,3501.79,24.376,62.659,3
Kiribati,1,0.774608672,1.290351152,-0.799266338,-1.326097369,0.182903424,0.023241181,0.626,0.767,0.63,0.65,46.33,3.03,102697,1511,46,60,3
Kuwait,2490.38,-0.642977953,0.203606218,-0.07355912,-0.04033019,0.362745106,-0.197435707,0.803,0.767,0.63,0.65,46.33,3.03,2818042,48250,100,78,3
Lebanon,1477,-0.385833383,-1.664812326,-0.231662378,-0.137205541,-0.700235009,-0.865690708,0.759,0.902,0.619,0.784,25.65,1.623433,5537620,18039.03,87.636,78.611,3
Lesotho,29,0.072332896,0.274199098,-0.424930245,-0.540954292,-0.269323468,0.126534462,0.48,0.422,0.505,0.517,50.93,9.55036,2014988,2585.366,25.704,47.416,3
Libya,1442,-0.900741994,-1.58695972,-1.274184704,-1.621440768,-0.980967283,-1.315019011,0.722,0.767,0.63,0.65,46.33,3.03,6461454,7371,79,75,3
Madagascar,238,-0.883270681,-0.536136985,-1.118368268,-0.576099575,-0.927833796,-0.670311391,0.498,0.767,0.63,0.65,46.33,3.03,21281844,1479,34,65,3
Malawi,189,-0.206084371,-0.002686169,-0.51255703,-0.712749183,-0.240807325,-0.477253526,0.446,0.594,0.436,0.342,60.1,19.87056,15396010,1362.605,15.812,58.629,3
Malaysia,29759,-0.346539199,-0.005212402,0.919373274,0.477169961,0.379769444,0.213312954,0.781,0.844,0.696,0.81,21.26,0.0060494,29068189,22132.22,72.275,74.877,3
Maldives,99,-0.468655318,-0.365171462,-0.18681863,-0.401814729,-0.544501007,-0.697819233,0.694,0.767,0.63,0.65,46.33,3.03,319738,14370,100,77,3
Mali,213,-0.495530128,-2.034328699,-0.983904898,-0.427046448,-0.66488874,-0.831212103,0.413,0.556,0.284,0.447,82.48,8.309109,15979492,2007.807,37.599,56.135,3
Mauritania,383,-0.910916328,-1.133991718,-0.913015425,-0.652322829,-0.939481437,-0.793573499,0.533,0.767,0.63,0.65,46.33,3.03,3205060,1176,41,61,3
Mauritius,486,0.880852997,0.971312404,1.046700478,0.931618333,1.02395618,0.252168298,0.771,0.767,0.63,0.65,46.33,3.03,1270000,8313,41,74,3
Mexico,50833,0.112745345,-0.662454188,0.30096364,0.418743193,-0.535180092,-0.484527588,0.759,0.846,0.658,0.787,28.41,0.0346324,117274156,18594.89,78.405,74.966,3
Moldova,272,-0.034426074,0.046490479,-0.562788844,-0.11593055,-0.323007405,-0.614259124,0.726,0.778,0.709,0.693,28.61,4.995006,2859458,9000.659,42.558,70.581,3
Mongolia,209.8333,0.065474994,0.471134812,-0.632912159,-0.216407061,-0.367212653,-0.535095811,0.718,0.742,0.738,0.676,51.43,3.936473,2824698,9488.343,68.03,68.217,3
Morocco,5323,-0.605667233,-0.470458776,-0.133275002,-0.110853657,-0.292328745,-0.493130356,0.635,0.846,0.48,0.63,50.89,1.527945,33241898,6625.463,59.142,74.97,3
Mozambique,293,-0.197661281,0.390493691,-0.655166209,-0.46577546,-0.598753095,-0.569021642,0.403,0.522,0.345,0.365,84.88,12.72907,24862673,1120.129,32.846,53.931,3
Myanmar,439,-1.620119333,-0.943674982,-1.480186582,-1.834657431,-1.356775403,-1.069791675,0.533,0.684,0.417,0.53,64.36,0.9866021,51413703,3491.185,29.266,64.453,3
Namibia,303,0.378439128,0.978104293,0.240754634,0.155978978,0.30407232,0.321495771,0.613,0.606,0.557,0.681,31.8,2.016329,2194777,9626.539,43.693,59.387,3
Nepal,63,-0.642363489,-1.381232262,-0.98878485,-0.805144668,-0.737359285,-0.814642906,0.559,0.745,0.478,0.491,79.85001,3.521787,26989160,2922.62,17.458,68.426,3
Nicaragua,437,-0.536340475,-0.348777562,-0.896317542,-0.310052246,-0.733911514,-0.78167814,0.633,0.815,0.529,0.589,42.47,5.262029,5982530,5083.363,57.309,72.951,3
Niger,78,-0.284627557,-1.148130894,-0.699347138,-0.60924989,-0.663967431,-0.647685707,0.337,0.767,0.63,0.65,46.33,3.03,15400000,725,20,58,3
Nigeria,6491,-0.70021987,-2.042073727,-1.002810359,-0.723069429,-1.138828754,-1.175933242,0.5,0.489,0.437,0.586,81.29,0.4419185,167228803,5131.373,45.246,51.786,3
North Macedonia,724,-0.028496105,-0.492649525,-0.217108637,0.264106423,-0.251570195,-0.051175073,0.748,0.846,0.67,0.739,22.06,1.549583,2074036,11549.67,57.125,75.019,3
Oman,1041,-1.021669745,0.462077081,0.260224998,0.466739267,0.518843412,0.175082937,0.702,0.767,0.63,0.65,46.33,3.03,2845000,22304,76,76,3
Pakistan,2694,-0.843582153,-2.677003622,-0.778008282,-0.722233474,-0.883420169,-1.068792224,0.519,0.705,0.351,0.564,60.26,0.912283,187280125,3980.749,35.408,65.849,3
Panama,878,0.469416946,-0.179432675,0.326495528,0.468524963,-0.222083896,-0.395119667,0.768,0.767,0.63,0.65,46.33,3.03,3367000,11347,79,77,3
Papua New Guinea,607,-0.059104972,-0.590442359,-0.74063623,-0.524210632,-0.832595944,-0.938103914,0.466,0.767,0.63,0.65,46.33,3.03,6187591,2519,13,71,3
Paraguay,498,-0.113736905,-0.871902168,-0.908871949,-0.261282653,-0.81082052,-0.850602806,0.701,0.816,0.605,0.696,42.11,0.3283102,6421510,10493.81,59.907,73.068,3
Peru,4584,0.114262931,-0.907364726,-0.187986538,0.436642319,-0.581970215,-0.404069632,0.742,0.846,0.689,0.702,50.06,0.2135873,29506790,11176.09,76.804,74.981,3
Philippines,11073,-0.029686736,-1.18824029,0.211598411,0.040504601,-0.522410274,-0.573895454,0.684,0.772,0.644,0.643,39.61,-0.0011588,97212639,6351.265,45.712,70.149,3
Poland,43887,1.064275742,1.04947865,0.656751573,0.996395767,0.817868531,0.659753621,0.842,0.876,0.817,0.833,18.22,0,38063164,25457.21,60.654,76.7463,3
Qatar,85,-0.921773374,1.223598838,0.930580139,0.795837998,0.952364326,1.053043008,0.854,0.914,0.682,1,0.2,0,2196078,96261.48,98.697,79.399,3
Romania,11414,0.318529606,0.082341559,-0.171900973,0.564533114,0.092900537,-0.381443471,0.803,0.842,0.763,0.807,32.12,0,20058035,21311.13,53.974,74.4122,3
Russian Federation,35787,-0.978818178,-0.817712665,-0.533574045,-0.346864879,-0.857621253,-1.051571608,0.798,0.768,0.793,0.835,5.71,0,143201721,25933.29,73.791,70.0722,3
Rwanda,54,-1.277656555,-0.230615199,-0.092332125,-0.12608774,-0.25050208,0.559880137,0.508,0.699,0.442,0.425,72.82,11.64131,10549668,1682.207,16.943,65.438,3
